Default Parameters;;;;;;;
x; y; x estimate; y estimate; sync error; TDOA error; position error;
0;0;0;0;0;0;0;
0;0,05;0;0,05;0;0,000003;0;
0;0,1;0;0,1;0;0;0;
0;0,15;0,001;0,15;0;-0,000001;0,001;
0;0,2;0,004;0,2;0;-0,000007;0,004;
0;0,25;0,002;0,25;0;-0,000004;0,002;
0;0,3;0,004;0,3;0;-0,000007;0,004;
0;0,35;0,001;0,35;0;-0,000001;0,001;
0;0,4;0,001;0,4;0;0;0,001;
0;0,45;0,003;0,45;0;-0,000005;0,003;
0;0,5;0,001;0,5;0;0;0,001;
0,05;0;0,05;0,002;-0,000021;-0,000003;0,002;
0,05;0,05;0,051;0,052;0;-0,000009;0,002236;
0,05;0,1;0,049;0,103;0;-0,000009;0,003162;
0,05;0,15;0,048;0,151;0;0;0,002236;
0,05;0,2;0,047;0,203;0;-0,000005;0,004243;
0,05;0,25;0,052;0,251;0;-0,000006;0,002236;
0,05;0,3;0,051;0,301;0;-0,000006;0,001414;
0,05;0,35;0,051;0,352;0;-0,000011;0,002236;
0,05;0,4;0,046;0,4;0;0,000005;0,004;
0,05;0,45;0,051;0,448;0;0,000004;0,002236;
0,05;0,5;0,05;0,498;0;0,000006;0,002;
0,1;0;0,099;0,002;0,000007;0,000002;0,002236;
0,1;0,05;0,097;0,05;0;0,000012;0,003;
0,1;0,1;0,098;0,104;0;-0,000008;0,004472;
0,1;0,15;0,101;0,149;0;0;0,001414;
0,1;0,2;0,097;0,2;0;0,000008;0,003;
0,1;0,25;0,099;0,254;0;-0,000012;0,004123;
0,1;0,3;0,097;0,3;0;0,000007;0,003;
0,1;0,35;0,102;0,351;0;-0,000008;0,002236;
0,1;0,4;0,101;0,401;0;-0,000003;0,001414;
0,1;0,45;0,096;0,45;0;0,000008;0,004;
0,1;0,5;0,1;0,497;0;0,000005;0,003;
0,15;0;0,149;0,001;0;0,000001;0,001414;
0,15;0,05;0,149;0,051;0;0,000001;0,001414;
0,15;0,1;0,15;0,098;0;0,000007;0,002;
0,15;0,15;0,152;0,152;0;-0,000013;0,002828;
0,15;0,2;0,151;0,2;0;-0,000002;0,001;
0,15;0,25;0,146;0,254;0;-0,000002;0,005657;
0,15;0,3;0,151;0,3;0;-0,000004;0,001;
0,15;0,35;0,152;0,348;0;0,000004;0,002828;
0,15;0,4;0,15;0,402;0;-0,000005;0,002;
0,15;0,45;0,149;0,449;0;0,000008;0,001414;
0,15;0,5;0,149;0,499;0;0,000003;0,001414;
0,2;0;0,2;0,003;0;-0,000005;0,003;
0,2;0,05;0,201;0,049;0;-0,000004;0,001414;
0,2;0,1;0,2;0,096;0;0,000009;0,004;
0,2;0,15;0,198;0,153;0;-0,000001;0,003606;
0,2;0,2;0,199;0,204;0;-0,000008;0,004123;
0,2;0,25;0,201;0,25;0;-0,000002;0,001;
0,2;0,3;0,196;0,3;0;0,00001;0,004;
0,2;0,35;0,199;0,347;0;0,00001;0,003162;
0,2;0,4;0,2;0,404;0;-0,000011;0,004;
0,2;0,45;0,201;0,45;0;-0,000002;0,001;
0,2;0,5;0,203;0,5;0;-0,000015;0,003;
0,25;0;0,25;0,002;0;-0,000002;0,002;
0,25;0,05;0,252;0,052;0;-0,000012;0,002828;
0,25;0,1;0,249;0,097;0;0,000011;0,003162;
0,25;0,15;0,25;0,152;0;-0,000006;0,002;
0,25;0,2;0,25;0,199;0;0,000001;0,001;
0,25;0,25;0,251;0,244;0;0,000013;0,006083;
0,25;0,3;0,25;0,301;0;-0,000003;0,001;
0,25;0,35;0,25;0,348;0;0,000005;0,002;
0,25;0,4;0,252;0,399;0;0;0,002236;
0,25;0,45;0,25;0,449;0;0,000005;0,001;
0,25;0,5;0,248;0,496;0;0,000012;0,004472;
0,3;0;0,3;0;0;0,000003;0;
0,3;0,05;0,303;0,05;0;-0,00001;0,003;
0,3;0,1;0,301;0,099;0;-0,000001;0,001414;
0,3;0,15;0,3;0,153;0;-0,000008;0,003;
0,3;0,2;0,299;0,198;0;0,000007;0,002236;
0,3;0,25;0,302;0,25;0;-0,000008;0,002;
0,3;0,3;0,298;0,301;0;0,000005;0,002236;
0,3;0,35;0,302;0,352;0;-0,000013;0,002828;
0,3;0,4;0,299;0,402;0;-0,000002;0,002236;
0,3;0,45;0,303;0,45;0;-0,000007;0,003;
0,3;0,5;0,301;0,5;0;-0,000008;0,001;
0,35;0;0,35;0,003;0;-0,000004;0,003;
0,35;0,05;0,35;0,045;0;0,000009;0,005;
0,35;0,1;0,351;0,101;0;-0,000009;0,001414;
0,35;0,15;0,35;0,149;0;0,000003;0,001;
0,35;0,2;0,347;0,2;0;0,000008;0,003;
0,35;0,25;0,349;0,25;0;0,000002;0,001;
0,35;0,3;0,35;0,305;0;-0,00001;0,005;
0,35;0,35;0,349;0,351;0;0,000002;0,001414;
0,35;0,4;0,353;0,404;0;-0,000018;0,005;
0,35;0,45;0,352;0,449;0;-0,000004;0,002236;
0,35;0,5;0,349;0,496;0,000007;0,000008;0,004123;
0,4;0;0,401;0;0;-0,000002;0,001;
0,4;0,05;0,4;0,049;0;0,000002;0,001;
0,4;0,1;0,397;0,099;0;0,000014;0,003162;
0,4;0,15;0,399;0,152;0;-0,000001;0,002236;
0,4;0,2;0,403;0,2;0;-0,000012;0,003;
0,4;0,25;0,4;0,25;0;0;0;
0,4;0,3;0,402;0,3;0;-0,000002;0,002;
0,4;0,35;0,403;0,351;0;-0,000013;0,003162;
0,4;0,4;0,4;0,397;0;0,000006;0,003;
0,4;0,45;0,4;0,451;0;-0,000002;0,001;
0,4;0,5;0,4;0,494;0;0,000009;0,006;
0,45;0;0,45;0,003;0;-0,000004;0,003;
0,45;0,05;0,447;0,05;0;0,000012;0,003;
0,45;0,1;0,448;0,1;0;0,000007;0,002;
0,45;0,15;0,45;0,147;0;0,000006;0,003;
0,45;0,2;0,451;0,197;0;0,000001;0,003162;
0,45;0,25;0,451;0,25;0;-0,000002;0,001;
0,45;0,3;0,45;0,303;0;-0,000005;0,003;
0,45;0,35;0,453;0,348;0;-0,000004;0,003606;
0,45;0,4;0,451;0,395;0;0,000007;0,005099;
0,45;0,45;0,45;0,454;0;-0,000003;0,004;
0,45;0,5;0,451;0,498;0;0;0,002236;
0,5;0;0,499;0;0;0,000003;0,001;
0,5;0,05;0,5;0,046;0;0,000004;0,004;
0,5;0,1;0,496;0,103;0;0,000009;0,005;
0,5;0,15;0,499;0,15;-0,000007;0,000002;0,001;
0,5;0,2;0,501;0,197;0;0,000005;0,003162;
0,5;0,25;0,499;0,246;0,000007;0,000015;0,004123;
0,5;0,3;0,495;0,299;0;0,000018;0,005099;
0,5;0,35;0,497;0,35;0;0,000012;0,003;
0,5;0,4;0,501;0,404;0;-0,000012;0,004123;
0,5;0,45;0,497;0,451;0;0,000006;0,003162;
0,5;0,5;0,502;0,498;0;-0,000005;0,002828;
0,55;0;0,551;0,006;0;-0,000009;0,006083;
0,55;0,05;0,548;0,052;0,000007;0,000005;0,002828;
0,55;0,1;0,548;0,101;0;0,000006;0,002236;
0,55;0,15;0,55;0,153;0;-0,000006;0,003;
0,55;0,2;0,55;0,199;0;0,000004;0,001;
0,55;0,25;0,551;0,253;0;-0,000006;0,003162;
0,55;0,3;0,546;0,298;0;0,000019;0,004472;
0,55;0,35;0,55;0,347;0;0,000006;0,003;
0,55;0,4;0,549;0,399;0;0,000004;0,001414;
0,55;0,45;0,548;0,448;0;0,000009;0,002828;
0,55;0,5;0,551;0,498;0;-0,000001;0,002236;
0,6;0;0,6;0,003;0;-0,000005;0,003;
0,6;0,05;0,599;0,049;0;0,000007;0,001414;
0,6;0,1;0,601;0,1;0;-0,000003;0,001;
0,6;0,15;0,602;0,154;0,000007;-0,000014;0,004472;
0,6;0,2;0,604;0,201;0;-0,000017;0,004123;
0,6;0,25;0,599;0,25;0;0,000002;0,001;
0,6;0,3;0,601;0,299;0;-0,000006;0,001414;
0,6;0,35;0,597;0,353;0;0,000005;0,004243;
0,6;0,4;0,6;0,403;0;-0,000002;0,003;
0,6;0,45;0,599;0,451;0;-0,000001;0,001414;
0,6;0,5;0,6;0,497;0;0,000004;0,003;
0,65;0;0,65;0;0;0,000001;0;
0,65;0,05;0,65;0,052;0;-0,000003;0,002;
0,65;0,1;0,65;0,098;0;0,000002;0,002;
0,65;0,15;0,646;0,148;-0,000007;0,000012;0,004472;
0,65;0,2;0,649;0,2;0;0,000003;0,001;
0,65;0,25;0,65;0,247;0,000007;0,000002;0,003;
0,65;0,3;0,649;0,3;0;0,000003;0,001;
0,65;0,35;0,649;0,348;0;0,000004;0,002236;
0,65;0,4;0,65;0,402;0;-0,000004;0,002;
0,65;0,45;0,649;0,448;0;0,000008;0,002236;
0,65;0,5;0,651;0,499;0;-0,000005;0,001414;
0,7;0;0,7;0,001;0;0,000001;0,001;
0,7;0,05;0,699;0,054;0,000007;0;0,004123;
0,7;0,1;0,699;0,099;0;0,000004;0,001414;
0,7;0,15;0,702;0,151;0;-0,000001;0,002236;
0,7;0,2;0,7;0,196;0;0,000004;0,004;
0,7;0,25;0,698;0,25;0;0,000005;0,002;
0,7;0,3;0,693;0,301;0;0,000016;0,007071;
0,7;0,35;0,698;0,35;0;0,000008;0,002;
0,7;0,4;0,699;0,401;0;0;0,001414;
0,7;0,45;0,696;0,451;0;0,000014;0,004123;
0,7;0,5;0,703;0,499;0;-0,000015;0,003162;
0,75;0;0,75;0,003;0;-0,000004;0,003;
0,75;0,05;0,749;0,052;0;-0,000001;0,002236;
0,75;0,1;0,75;0,103;0;-0,000002;0,003;
0,75;0,15;0,749;0,148;0;0,000005;0,002236;
0,75;0,2;0,753;0,203;0;-0,000011;0,004243;
0,75;0,25;0,753;0,253;0;-0,000008;0,004243;
0,75;0,3;0,747;0,302;0;0,000001;0,003606;
0,75;0,35;0,749;0,352;0;-0,000001;0,002236;
0,75;0,4;0,754;0,4;0;-0,000008;0,004;
0,75;0,45;0,749;0,448;0;0,000005;0,002236;
0,75;0,5;0,75;0,497;0;0,000001;0,003;
0,8;0;0,8;0;-0,000021;-0,000001;0;
0,8;0,05;0,799;0,05;0;0,000001;0,001;
0,8;0,1;0,8;0,101;0;-0,000005;0,001;
0,8;0,15;0,8;0,151;0;-0,000003;0,001;
0,8;0,2;0,797;0,2;0;0,000005;0,003;
0,8;0,25;0,798;0,25;0;0,000004;0,002;
0,8;0,3;0,8;0,306;0;-0,000019;0,006;
0,8;0,35;0,798;0,35;0;0,000005;0,002;
0,8;0,4;0,799;0,399;0;0,000005;0,001414;
0,8;0,45;0,797;0,449;0;0,000008;0,003162;
0,8;0,5;0,799;0,5;0;0,000001;0,001;
SNR;;;;;6,41711E-08;0,002567369;
x; y; x estimate; y estimate; sync error; TDOA error; position error; SNR
0,5;0,25;0,4;0,25;-14,996354;0,000328;0,1;40
0,5;0,25;0,4;0,25;-9,995333;0,000328;0,1;42
0,5;0,25;0,8;0,5;2,337118;-14,992652;0,390512;44
0,5;0,25;0,397;0,252;-2,333785;0,000334;0,103019;46
0,5;0,25;0,8;0,5;-4,660903;-0,002631;0,390512;48
0,5;0,25;0,8;0,5;-2,330451;-0,002638;0,390512;50
0,5;0,25;0,499;0,246;0;0,000015;0,004123;52
0,5;0,25;0,505;0,254;0;-0,000027;0,006403;54
0,5;0,25;0,498;0,25;0;0,000008;0,002;56
